S11;S22;S33;S23;S13;S12;E11;E22;E33;E23;E13;E12;Ep11;Ep22;Ep33;Ep23;Ep13;Ep12;PEEQ;MISES;ux;uy;uz
-4.11387e-02;-4.25293e-02; 5.52654e+01;-5.46054e-01; 3.99329e-02; 3.33433e-01;-1.39589e-03;-1.30929e-03; 2.94566e-03; 2.10679e-04;-6.72882e-05;-8.09013e-05;-1.29595e-03;-1.20972e-03; 2.48085e-03; 2.58809e-04;-7.85193e-05;-1.02820e-04; 2.49524e-03; 5.53184e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
 3.13490e-02; 3.18943e-02; 5.62010e+01;-5.16726e-01; 3.42534e-02; 3.11163e-01;-1.63867e-03;-1.53752e-03; 3.44406e-03; 2.51859e-04;-8.04054e-05;-9.51152e-05;-1.54641e-03;-1.44477e-03; 2.96350e-03; 3.08420e-04;-9.43147e-05;-1.20095e-04; 2.97997e-03; 5.61791e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
 4.70504e-02; 4.59167e-02; 5.70105e+01;-5.43872e-01; 4.96665e-02; 3.17211e-01;-1.87416e-03;-1.75862e-03; 3.94222e-03; 2.89511e-04;-9.14196e-05;-1.08062e-04;-1.79416e-03;-1.67660e-03; 3.44233e-03; 3.60476e-04;-1.08790e-04;-1.38713e-04; 3.46026e-03; 5.69745e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
-2.95095e-02;-3.25369e-02; 5.86262e+01;-5.71088e-01; 2.71649e-02; 2.22195e-01;-2.10926e-03;-1.97982e-03; 4.44013e-03; 3.26930e-04;-1.03408e-04;-1.22976e-04;-2.03867e-03;-1.90516e-03; 3.91461e-03; 4.12657e-04;-1.24207e-04;-1.59268e-04; 3.93408e-03; 5.86669e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
 1.05762e-03;-2.41673e-03; 5.96748e+01;-6.14372e-01; 2.55369e-01; 3.91651e-01;-2.35530e-03;-2.21359e-03; 4.93779e-03; 3.69198e-04;-1.15518e-04;-1.35481e-04;-2.28849e-03;-2.14130e-03; 4.39870e-03; 4.62995e-04;-1.39240e-04;-1.76620e-04; 4.41991e-03; 5.96904e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
-1.32256e-02;-1.64573e-02; 6.04111e+01;-6.23591e-01; 1.39367e-01; 3.79736e-01;-2.56339e-03;-2.41122e-03; 5.36060e-03; 4.05108e-04;-1.26850e-04;-1.45113e-04;-2.50031e-03;-2.34285e-03; 4.81035e-03; 5.03734e-04;-1.51316e-04;-1.87828e-04; 4.83293e-03; 6.04397e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
 0.00000e+00;-2.38419e-07; 6.06599e+01;-6.39014e-01; 1.51691e-01; 3.70721e-01;-2.67031e-03;-2.51304e-03; 5.57194e-03; 4.23987e-04;-1.33609e-04;-1.50605e-04;-2.60758e-03;-2.44507e-03; 5.01897e-03; 5.23666e-04;-1.58453e-04;-1.93556e-04; 5.04224e-03; 6.06740e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
-4.45545e-06;-6.17653e-06; 6.16334e+01;-5.72161e-01; 2.24227e-01; 3.49133e-01;-2.85214e-03;-2.68602e-03; 5.96032e-03; 4.52636e-04;-1.41819e-04;-1.58865e-04;-2.79765e-03;-2.62519e-03; 5.39006e-03; 5.63806e-04;-1.69729e-04;-2.05980e-04; 5.41392e-03; 6.16455e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
-6.59919e-02;-6.71237e-02; 6.24490e+01;-5.30303e-01; 3.21109e-01; 3.57663e-01;-3.08945e-03;-2.91230e-03; 6.45723e-03; 4.92478e-04;-1.52665e-04;-1.69274e-04;-3.04261e-03;-2.85751e-03; 5.87128e-03; 6.15859e-04;-1.83210e-04;-2.20850e-04; 5.89494e-03; 6.25279e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
 8.24054e-02; 6.80687e-02; 6.32228e+01;-5.37083e-01; 1.76969e-01; 3.69824e-01;-3.31888e-03;-3.12842e-03; 6.95388e-03; 5.31081e-04;-1.60959e-04;-1.80041e-04;-3.28585e-03;-3.08706e-03; 6.34875e-03; 6.68096e-04;-1.94504e-04;-2.36173e-04; 6.37199e-03; 6.31584e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
-3.14764e-02;-3.32817e-02; 6.41901e+01;-5.85506e-01; 1.16025e-01; 3.62512e-01;-3.54934e-03;-3.34583e-03; 7.45030e-03; 5.69373e-04;-1.69917e-04;-1.91462e-04;-3.52795e-03;-3.31443e-03; 6.82368e-03; 7.20909e-04;-2.06239e-04;-2.52419e-04; 6.84628e-03; 6.42338e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
 4.08114e-02; 4.48178e-02; 6.52163e+01;-6.32926e-01; 5.85869e-02; 3.72180e-01;-3.78478e-03;-3.56796e-03; 7.94646e-03; 6.10659e-04;-1.81197e-04;-2.03721e-04;-3.77185e-03;-3.54396e-03; 7.30257e-03; 7.72045e-04;-2.19314e-04;-2.68080e-04; 7.32448e-03; 6.51860e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
-6.31614e-02;-6.48148e-02; 6.59042e+01;-6.45385e-01; 7.29962e-02; 3.72011e-01;-4.02115e-03;-3.79073e-03; 8.44238e-03; 6.51386e-04;-1.92104e-04;-2.15705e-04;-4.01597e-03;-3.77385e-03; 7.78306e-03; 8.22929e-04;-2.32400e-04;-2.83510e-04; 7.80392e-03; 6.59809e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
-2.17557e-06;-2.22027e-06; 6.72606e+01;-6.07021e-01; 7.99364e-02; 3.53217e-01;-4.20646e-03;-3.96537e-03; 8.84513e-03; 6.81099e-04;-1.98989e-04;-2.24438e-04;-4.20963e-03;-3.95583e-03; 8.16510e-03; 8.65081e-04;-2.41706e-04;-2.96485e-04; 8.18477e-03; 6.72718e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
-2.23517e-08; 2.16067e-07; 6.80795e+01;-6.41802e-01; 1.02143e-01; 3.67001e-01;-4.24714e-03;-4.00382e-03; 8.92683e-03; 6.88455e-04;-2.00974e-04;-2.26584e-04;-4.24812e-03;-3.99219e-03; 8.24057e-03; 8.72793e-04;-2.43892e-04;-2.98749e-04; 8.26020e-03; 6.80918e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
 4.47035e-08; 4.91738e-07; 6.81022e+01;-7.19993e-01; 1.49417e-01; 4.01578e-01;-4.45814e-03;-4.20337e-03; 9.34167e-03; 7.28661e-04;-2.11925e-04;-2.38149e-04;-4.45907e-03;-4.19169e-03; 8.65524e-03; 9.13795e-04;-2.55185e-04;-3.10532e-04; 8.67429e-03; 6.81176e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
-7.15256e-07;-7.15256e-07; 6.97233e+01;-6.69650e-01; 1.48864e-01; 3.81147e-01;-4.65733e-03;-4.39227e-03; 9.75025e-03; 7.63854e-04;-2.21366e-04;-2.47892e-04;-4.65771e-03;-4.37966e-03; 9.04806e-03; 9.53334e-04;-2.65169e-04;-3.21621e-04; 9.06585e-03; 6.97366e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
-5.96046e-07;-1.19209e-06; 6.97392e+01;-7.06226e-01; 1.72210e-01; 4.00787e-01;-4.74008e-03;-4.47093e-03; 9.91348e-03; 7.79726e-04;-2.25951e-04;-2.52066e-04;-4.74042e-03;-4.45828e-03; 9.21117e-03; 9.69579e-04;-2.69927e-04;-3.25945e-04; 9.22869e-03; 6.97540e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 2.82843e-04; 2.82843e-04
-1.03160e-11; 1.41248e+01; 1.40179e+01; 2.52473e-16; 3.03480e-16; 2.03187e-17;-7.41032e-05; 7.07082e-05; 7.07082e-05; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 1.40716e+01; 0.00000e+00; 2.82843e-04; 2.82843e-04
-1.47623e-11; 2.82485e+01; 2.80348e+01; 8.86261e-16; 8.37207e-16; 4.06374e-17;-1.48201e-04; 1.41411e-04; 1.41411e-04; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 2.81423e+01; 0.00000e+00; 2.82843e-04; 2.82843e-04
-1.47558e-11; 4.23713e+01; 4.20508e+01; 1.99936e-15; 1.86813e-15; 6.09560e-17;-2.22294e-04; 2.12110e-04; 2.12110e-04; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 4.22119e+01; 0.00000e+00; 2.82843e-04; 2.82843e-04
-3.14748e-13; 4.59018e+01; 4.55546e+01; 1.78805e-15; 1.89559e-15; 6.60357e-17;-2.40816e-04; 2.29783e-04; 2.29783e-04; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 4.57292e+01; 0.00000e+00; 2.82843e-04; 2.82843e-04
-2.10554e-13; 5.11975e+01; 5.08102e+01; 2.33690e-15; 1.81709e-15; 6.60357e-17;-2.68599e-04; 2.56293e-04; 2.56293e-04; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 5.10050e+01; 0.00000e+00; 2.82843e-04; 2.82843e-04
-1.49012e-08; 5.25745e+01; 5.15824e+01;-7.64433e-01; 9.28060e-01; 2.70803e-01;-8.02762e-04; 5.01478e-04; 5.01477e-04; 5.16284e-05;-6.19608e-05; 2.13083e-09;-5.28529e-04; 2.36779e-04; 2.42815e-04; 5.94492e-05;-7.13101e-05;-2.82227e-06; 5.15545e-04; 5.21293e+01; 0.00000e+00; 2.82843e-04; 2.82843e-04
 7.45058e-08; 5.39438e+01; 5.28704e+01;-8.53942e-01; 1.01701e+00; 2.63793e-01;-9.89382e-04; 5.88851e-04; 5.88850e-04; 6.98736e-05;-8.32887e-05; 3.87581e-09;-7.08156e-04; 3.17118e-04; 3.23874e-04; 7.85926e-05;-9.35126e-05;-2.74922e-06; 6.90125e-04; 5.34666e+01; 0.00000e+00; 2.82843e-04; 2.82843e-04
 5.96046e-07; 5.40112e+01; 5.28621e+01;-9.98746e-01; 1.14845e+00; 2.76683e-01;-1.72475e-03; 9.21779e-04; 9.21776e-04; 1.43361e-04;-1.69440e-04; 1.61656e-08;-1.44338e-03; 6.49523e-04; 6.57041e-04; 1.53433e-04;-1.80834e-04;-2.88360e-06; 1.40596e-03; 5.35130e+01; 0.00000e+00; 2.82843e-04; 2.82843e-04
 6.18807e-02; 5.53153e+01; 5.42336e+01;-9.93818e-01; 1.30224e+00; 3.41786e-01;-2.31242e-03; 1.23963e-03; 1.23963e-03; 1.90206e-04;-2.24714e-04; 2.84275e-08;-2.05419e-03; 9.30828e-04; 9.40571e-04; 2.15007e-04;-2.55085e-04;-4.93494e-06; 2.00441e-03; 5.47973e+01; 0.00000e+00; 2.82843e-04; 2.82843e-04
 1.78134e-02; 5.62022e+01; 5.51441e+01;-1.17118e+00; 1.39283e+00; 3.15029e-01;-2.77999e-03; 1.49560e-03; 1.49560e-03; 2.28974e-04;-2.69932e-04; 4.10877e-08;-2.53864e-03; 1.15996e-03; 1.17148e-03; 2.66787e-04;-3.14940e-04;-5.90422e-06; 2.48298e-03; 5.57547e+01; 0.00000e+00; 2.82843e-04; 2.82843e-04
-7.83458e-02; 5.67063e+01; 5.56762e+01;-1.31705e+00; 1.44083e+00; 3.30504e-01;-3.30172e-03; 1.78460e-03; 1.78459e-03; 2.70239e-04;-3.18118e-04; 5.71182e-08;-3.08235e-03; 1.42070e-03; 1.43435e-03; 3.23184e-04;-3.79936e-04;-7.43446e-06; 3.02226e-03; 5.63810e+01; 0.00000e+00; 2.82843e-04; 2.82843e-04
 4.06406e-02; 5.88107e+01; 5.76694e+01;-1.38758e+00; 1.49058e+00; 3.61600e-01;-3.85477e-03; 2.10217e-03; 2.10216e-03; 3.13901e-04;-3.68928e-04; 7.68990e-08;-3.65889e-03; 1.69539e-03; 1.71295e-03; 3.86079e-04;-4.52707e-04;-9.58236e-06; 3.59380e-03; 5.83179e+01; 0.00000e+00; 2.82843e-04; 2.82843e-04
 1.30074e-02; 5.94474e+01; 5.83276e+01;-1.50889e+00; 1.54059e+00; 2.95971e-01;-4.51864e-03; 2.45491e-03; 2.45489e-03; 3.75350e-04;-4.39423e-04; 1.09449e-07;-4.34005e-03; 2.02385e-03; 2.04319e-03; 4.60065e-04;-5.36961e-04;-1.01345e-05; 4.27057e-03; 5.90031e+01; 0.00000e+00; 2.82843e-04; 2.82843e-04
-4.76837e-07; 6.16757e+01; 6.05305e+01;-1.57542e+00; 1.59837e+00; 2.69022e-01;-4.62659e-03; 2.51305e-03; 2.51303e-03; 3.85732e-04;-4.50845e-04; 1.15387e-07;-4.43623e-03; 2.07078e-03; 2.09020e-03; 4.71061e-04;-5.48890e-04;-9.85368e-06; 4.36645e-03; 6.12364e+01; 0.00000e+00; 2.82843e-04; 2.82843e-04
 4.76837e-07; 6.18040e+01; 6.06209e+01;-1.69336e+00; 1.69329e+00; 2.04615e-01;-5.23256e-03; 2.80828e-03; 2.80826e-03; 4.51666e-04;-5.22698e-04; 1.56550e-07;-5.04167e-03; 2.36530e-03; 2.38509e-03; 5.37732e-04;-6.21185e-04;-9.18250e-06; 4.96919e-03; 6.13624e+01; 0.00000e+00; 2.82843e-04; 2.82843e-04
-4.76837e-06; 6.27030e+01; 6.15422e+01;-1.44911e+00; 1.48955e+00; 2.61210e-01;-5.78400e-03; 3.09468e-03; 3.09466e-03; 5.08355e-04;-5.83286e-04; 1.96512e-07;-5.59893e-03; 2.63718e-03; 2.65787e-03; 5.98719e-04;-6.87290e-04;-1.05981e-05; 5.52464e-03; 6.22366e+01; 0.00000e+00; 2.82843e-04; 2.82843e-04
-1.19209e-07; 6.40719e+01; 6.29043e+01;-1.66879e+00; 1.57457e+00; 2.29161e-01;-5.89480e-03; 3.15278e-03; 3.15275e-03; 5.18632e-04;-5.95835e-04; 2.04775e-07;-5.70255e-03; 2.68844e-03; 2.70910e-03; 6.11166e-04;-7.00591e-04;-1.02642e-05; 5.62839e-03; 6.36216e+01; 0.00000e+00; 2.82843e-04; 2.82843e-04
-3.39575e-02; 6.41383e+01; 6.30491e+01;-2.01043e+00; 1.83127e+00; 1.47386e-01;-6.48312e-03; 3.44782e-03; 3.44779e-03; 5.81064e-04;-6.63713e-04; 2.55410e-07;-6.29236e-03; 2.98050e-03; 3.00078e-03; 6.77982e-04;-7.72423e-04;-9.65290e-06; 6.21879e-03; 6.38093e+01; 0.00000e+00; 2.82843e-04; 2.82843e-04
 1.23739e-02; 6.45052e+01; 6.35981e+01;-2.06757e+00; 2.01526e+00; 1.61791e-01;-7.12852e-03; 3.80008e-03; 3.80004e-03; 6.41303e-04;-7.29906e-04; 3.09795e-07;-6.94944e-03; 3.31739e-03; 3.33767e-03; 7.48625e-04;-8.51763e-04;-1.14547e-05; 6.88394e-03; 6.42397e+01; 0.00000e+00; 2.82843e-04; 2.82843e-04
